organization, student
1000plus Day of Service, cnwankwo
180 Degrees Consulting CMU Branch, xiaojunh
5th Year Scholar Program, jlamb
AB Coffeehouse, djdeluca
AB Comedy, jscohen
AB Concerts, ssnaraya
AB Films, okung
AB Lectures, mgopakum
AB Political Speakers, rapoport
AB Publications, msaporta
AB Skibo, egrady
AB Special Events, emolitor
AB Tech, kicohen
AB Underground, aconduff
AC Mellon Men's Soccer Team, ehorton
ACM@CMU, alrao
Active Minds at Carnegie Mellon, reneec
Activities Board, dmatvey
Activities Fair, asgreen
Actuarial Club, cschmid1
Aerospace Club, vkanodia
Agape Christian Ministry, lhonglia
All University Orchestra, dasimon
Allies Grad, awolff
Alpha Chi Omega, kdiaz
Alpha Epsilon Delta, pkatiyar
Alpha Epsilon Pi, zsikov
Alpha Kappa Alpha Sorority Inc., mgbarnes
Alpha Kappa Delta Phi, amui1
Alpha Kappa Psi Professional Business Fraternity, ayf
Alpha Omega, jesaunde
Alpha Phi, mreager
Alpha Phi Omega, eunicec1
Alpha Sigma Phi, pkmellot
Alpha Tau Omega, zroop
American Institute of Architecture Students, zislamha
American Society of Civil Engineers, ycruz
American Society of Mechanical Engineers, jjlopez
Amnesty International, sbolig
ANVIL, rpaetz
Apex, rbchrist
Arab Student Organization, qrz
Argentine Tango Club, espiliop
Artist Alley Club, xluo1
Asian Christian Fellowship, mklee1
Asian Students Association, mkim4
Astronomy Club, maperez
Awareness of Roots in Chinese Culture, sarahwan
Badminton Club, sqp
Ballroom Dance Club, skruzick
Baseball Club, skolluri
Bhangra in the Burgh, ilaad
Big Straw Magazine, mlu1
Biomedical Engineering Society, yushuanp
Black Graduate Students Organization, dfarquha
Black Latino Business Association, tylerd
Budaya (Malaysian Students' Organization), klimjinx
C#, mbiltz
Camp Kesem Carnegie Mellon, dastone
Carnegie Involvement Association, bobbiec
Carnegie Leadership Consultants, mrjames
Carnegie Mellon Data Science Club, sshy
Carnegie Mellon Disc Golf Club, dbeinhar
Carnegie Mellon Hyperloop, btmartin
Carnegie Mellon Informatics and Mathematics Competition Organizing Team, ctj
Carnegie Mellon Men's Lacrosse, mkalnas
Carnegie Mellon Muay Thai Club, jebailey
Carnegie Mellon Racing, swestenb
Carnegie Mellon Rocket Command, gparker
Carnegie Mellon Rotaract Club, arocha
Carnegie Mellon Solar Racing, jhzhang
Carnegie Mellon Sports Analytics Club, jgphilli
Carnegie Mellon Tricking Club, wxl
Carnegie Mellon Univeristy Global Medical Brigades, fmun
Carnegie Mellon University Club Swimming, jdangrem
Carnegie Mellon University Figure Skating Club, jnlott
Carnegie Mellon University Math Club, zsinger
Carnegie Mellon University Model United Nations, jakoad
Carnegie Mellon University United Nations Children's Fund, galsanea
Carnegie Tech Radio Club, cmackint
Catholic Newman Club, trosa
CCO Delta Ministries, bsoques
Central Church Student Fellowship, vkang
Chabad of CMU, jmeyers1
Chess Club, beilinl
Chinese Student Association, zhiqig
Chinese Students and Scholars Association, xiliu
Chinmaya Yuva Kendra, sannalda
Circle K, mlu1
Club Basketball, tscanlo1
CMU Archery Club, adkang
CMU Bhangra, tjagadee
CMU Blockchain, cmanaog
CMU Board Game Club, md5i
CMU Bowling, akk1
CMU ChemE Car, jlewis1
CMU Cricket Club, jmogali
CMU Cyphers, rjharty
CMU Debate, gyyu
CMU Drone Racing Club, johnl3
CMU eSports, yschen
CMU Explorers Club, kstinson
CMU Fishing Club, jwkromka
CMU Floorball Club, joonwoob
CMU Golf Club, espektor
CMU in Haiti, klambert
CMU International Film Festival, ktz
CMU Jiya, ndpatel
CMU Kidney Disease Screening and Awareness Program, sarahsim
CMU Life Matters, trosa
CMU Magicians, jpspence
CMU Omega Rho International Honor Society, yonghwak
CMU Pops Orchestra, raahuja
CMU Quidditch Club, kmhuang
CMU Raasta, ammenon
CMU Red Cross, skolluri
CMU Resident Assistants and Community Advisors, savery
CMU RPG Association, sbyun
CMU Running Club, nhearty
CMU Sahara, nrangara
CMU Science Olympiad, sayu
CMU Spikeball Club, phjohnso
CMU Street Styles, ysee
CMU Tennis Club, abhinans
CMU Transportation Club, nndimbie
CMU U.S-China Summit on Innovation &amp; Entrepreneurship, zhengyup
CMUBronies, cmeredit
cmuTV, jrx
College Democrats, lydiag
College Republicans Club, adelong
Colleges Against Cancer, clibertz
Committee on Student Organizations, hnourie
Computer Club, fseidel
Computer Vision Club, anubhava
Cosplay@CMU, jtwang
Council of Religious Advisors, rabbi
Counterpoint, shrutin1
Cru, bshortri
Cycling Club, bhoughto
Dancers' Symposium, ayc1
Deewane A Cappella, ghenning
Delta Delta Delta, ntho
Delta Gamma, ereuss
Delta Sigma Theta Sorority Inc., ydione
Delta Tau Delta, goc
Department of Athletics, jcentor
Design For America, mengyinf
Design League, apalatuc
Doctors of Carnegie Society, crbreze
East End Youth Projects, carlyj
Educational Technology Club, eallard
Emergency Medical Service, cgv
Emerging Leaders, mhassenr
Enactus, ktz
Energy Club, jmohamma
Engineers Without Borders, rsajjad
Environment &amp; Water Resources Institute (EWRI) Graduate Student Chapter at CMU, sschwets
Environment@CMU, mssmith
Facilitating Opportunities for Refugee Growth and Empowerment, kehuiz
Feminists Engaged in Multicultural Matters and Education, mlokhand
Fencing Club, alexandy
Filmmaking Club, bbizier
Foosball Club, dbaratt
Fringe, htr
Future Leaders of Science, kajackso
Futurist Club, ccorbett
Game Creation Society, tsanmigu
Global Public Health Brigades, hwooten
Global Water Brigades, tkakkana
Go Baby Go, slenart
Graduate Biomedical Engineering Society, aruesch
Graduate Student Assembly, tscarles
Grappling Club, nbhandar
Greek Sing, kbylanci
h2o Church Student Fellowship, lsantizo
Habitat for Humanity, prathi
HELP, lucasc
Her Campus, renright
Hillel Jewish Students Association, jgrove
Hong Kong Student Association, akluk
Housing Services, msemple
Humanist League, claran
Ice Hockey, cselby
IMPAQT, jlamb
Independent Musicians Organization, gbalakr1
Indian Graduate Student Association, sanghamd
Indonesian Students at CMU, rfathoni
INFORMS Student Chapter, hnh
Inter A Cappella Council, jnapolit
Inter-Fellowship Association, syzhao
Interfaith Spirituality Embassy, ywe
Interfraternity Council, vayuma
International Student Union, xyang1
InterVarsity Christian Fellowship, dswhite
Intramural Sports, Amiller4
Iranian Student Association, afsoona
Japanese Cooking Club, pmedor
Japanese Student Association, rkhorana
Jazz Club, frankz
Joint Funding Committee, gcach
Joyful Noise, nharmon
Juntos, jazeller
K-Pop Dance Club, alinay
Kappa Alpha Psi, jessek
Kappa Alpha Theta, ediering
Kappa Kappa Gamma, ambikac
Kappa Sigma, sogus
Kiltie Band, jstapins
Klesis Christian Fellowship, thchen
KONAMFoundation@CMU, vjschulz
Korean American Students' Association, janetl2
Korean Graduate Student Association, hyoungwd
Korean Student Association, sungwooy
La Minaudiere, mbomberg
Lambda Sigma, hnazir
Late Night, msnowadz
Latino/a Graduate Student Association, malberol
Liberty In North Korea, cjhin
Lunar Gala, gek
Lutheran Student Fellowship, pbrouwe1
Magic@CMU, jrx
Masters of Flying Objects, mterzi
Mayur - South Asian Student Association, anoushks
Mellon FIT, mcarpent
MellonHeads, oalhait
Men's Club Volleyball, gpmiller
Men's Ultimate Frisbee Club, dylans
Men's Water Polo Club, jsegel
Minority Association of Pre-Health Students, cbanuelo
Mock Trial, apjaffe
Mogul @ CMU, aishahan
Moneythink CMU, swanasun
Moot Court, hmalli
Mortarboard, aparekh
Mosaic, jeklein
Multicultural and Diversity Initiatives, mssmith
Multicultural Greek Council, jjue
Multicultural Presidents Council, mssmith
Muslim Student Association, smohidee
National Organization of Minority Architects Students, hcmartin
National Society of Black Engineers, jmitche1
Nu Rho Psi, mschmehl
Office of International Education, lgentile
